pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,83.34,random_reinit,Conv-6,2
1,17.46943194361892,82.53056805638109,82.22,random_reinit,Conv-6,2
2,31.824566244940698,68.1754337550593,82.15,random_reinit,Conv-6,2
3,43.63125689904051,56.36874310095949,81.3,random_reinit,Conv-6,2
4,53.350899351843985,46.64910064815601,81.31,random_reinit,Conv-6,2
5,61.35984510769579,38.64015489230421,79.87,random_reinit,Conv-6,2
6,67.96510146896493,32.03489853103507,77.98,random_reinit,Conv-6,2
7,73.41777582010133,26.582224179898674,76.63,random_reinit,Conv-6,2
8,77.92311461605955,22.076885383940446,74.87,random_reinit,Conv-6,2
9,81.64903873368996,18.35096126631004,72.57,random_reinit,Conv-6,2
10,84.73326363533441,15.266736364665592,70.22,random_reinit,Conv-6,2
11,87.28851787382186,12.711482126178145,65.12,random_reinit,Conv-6,2
12,89.40745202513374,10.592547974866266,62.39,random_reinit,Conv-6,2
13,91.1661766578925,8.833823342107499,57.76,random_reinit,Conv-6,2
14,92.62709270895247,7.372907291047522,55.38,random_reinit,Conv-6,2
15,93.8417218589907,6.158278141009312,50.82,random_reinit,Conv-6,2
16,94.85247551725114,5.147524482748861,50.65,random_reinit,Conv-6,2
17,95.69420268319607,4.3057973168039405,43.15,random_reinit,Conv-6,2
18,96.39578203277574,3.6042179672242507,42.16,random_reinit,Conv-6,2
19,96.98100641080072,3.0189935891992867,41.18,random_reinit,Conv-6,2
20,97.46951154793241,2.5304884520675897,10.0,random_reinit,Conv-6,2
