pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,76.4,winning_ticket,Conv-4,3
1,18.9288848275316,81.0711151724684,77.46,winning_ticket,Conv-4,3
2,34.17912564989047,65.82087435010952,78.28,winning_ticket,Conv-4,3
3,46.47570498271357,53.52429501728643,78.67,winning_ticket,Conv-4,3
4,56.39973047689425,43.60026952310575,78.72,winning_ticket,Conv-4,3
5,64.41713566546146,35.58286433453854,79.04,winning_ticket,Conv-4,3
6,70.9012776780766,29.09872232192341,79.06,winning_ticket,Conv-4,3
7,76.15182365205457,23.848176347945422,79.18,winning_ticket,Conv-4,3
8,80.40926605262464,19.590733947375366,79.08,winning_ticket,Conv-4,3
9,83.86651018711568,16.133489812884328,78.72,winning_ticket,Conv-4,3
10,86.67835864717215,13.321641352827848,79.4,winning_ticket,Conv-4,3
11,88.96934628275844,11.030653717241561,78.63,winning_ticket,Conv-4,3
12,90.8394721041936,9.160527895806393,78.86,winning_ticket,Conv-4,3
13,92.36918892349107,7.630811076508934,78.76,winning_ticket,Conv-4,3
14,93.62319713124488,6.376802868755113,77.96,winning_ticket,Conv-4,3
15,94.65370239634741,5.346297603652583,77.83,winning_ticket,Conv-4,3
16,95.50255997466417,4.497440025335832,77.41,winning_ticket,Conv-4,3
17,96.2037076746457,3.7962923253543055,76.58,winning_ticket,Conv-4,3
18,96.78452666860204,3.2154733313979578,75.56,winning_ticket,Conv-4,3
19,97.26699612045077,2.733003879549233,73.98,winning_ticket,Conv-4,3
20,97.6690127602861,2.330987239713916,72.29,winning_ticket,Conv-4,3
