pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.45,random_reinit,Conv-2,4
1,19.9103137136735,80.0896862863265,71.18,random_reinit,Conv-2,4
2,35.847544008452005,64.152455991548,71.08,random_reinit,Conv-2,4
3,48.60539150037945,51.39460849962055,70.5,random_reinit,Conv-2,4
4,58.81894223472166,41.18105776527833,70.2,random_reinit,Conv-2,4
5,66.99635804949185,33.00364195050816,69.46,random_reinit,Conv-2,4
6,73.54414981474041,26.45585018525959,69.68,random_reinit,Conv-2,4
7,78.7876610791185,21.212338920881507,68.34,random_reinit,Conv-2,4
8,82.98727363361755,17.012726366382452,68.64,random_reinit,Conv-2,4
9,86.3512650104906,13.648734989509398,67.68,random_reinit,Conv-2,4
10,89.04629443626028,10.953705563739714,65.05,random_reinit,Conv-2,4
11,91.20579624421529,8.79420375578471,65.37,random_reinit,Conv-2,4
12,92.93653650134667,7.063463498653334,64.1,random_reinit,Conv-2,4
13,94.32393736142731,5.676062638572683,61.35,random_reinit,Conv-2,4
14,95.43640164873592,4.56359835126408,60.84,random_reinit,Conv-2,4
15,96.32866092287546,3.671339077124533,58.15,random_reinit,Conv-2,4
16,97.04451903188846,2.9554809681115426,56.3,random_reinit,Conv-2,4
17,97.619037654569,2.3809623454310076,55.27,random_reinit,Conv-2,4
18,98.08032658512269,1.9196734148773118,54.15,random_reinit,Conv-2,4
19,98.45084575837389,1.549154241626118,53.78,random_reinit,Conv-2,4
20,98.7485910227222,1.2514089772778,48.37,random_reinit,Conv-2,4
