pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,79.74,winning_ticket,Conv-4,1
1,18.9288848275316,81.0711151724684,80.76,winning_ticket,Conv-4,1
2,34.17912564989047,65.82087435010952,80.65,winning_ticket,Conv-4,1
3,46.47570498271357,53.52429501728643,80.91,winning_ticket,Conv-4,1
4,56.39973047689425,43.60026952310575,80.58,winning_ticket,Conv-4,1
5,64.41713566546146,35.58286433453854,80.46,winning_ticket,Conv-4,1
6,70.9012776780766,29.09872232192341,79.73,winning_ticket,Conv-4,1
7,76.15182365205457,23.848176347945422,78.42,winning_ticket,Conv-4,1
8,80.40926605262464,19.590733947375366,78.6,winning_ticket,Conv-4,1
9,83.8664689504104,16.13353104958961,78.09,winning_ticket,Conv-4,1
10,86.67831741046686,13.321682589533134,78.34,winning_ticket,Conv-4,1
11,88.96930504605315,11.030694953946847,77.45,winning_ticket,Conv-4,1
12,90.83943086748832,9.160569132511679,76.64,winning_ticket,Conv-4,1
13,92.36914768678578,7.63085231321422,76.15,winning_ticket,Conv-4,1
14,93.6231558945396,6.3768441054604,75.08,winning_ticket,Conv-4,1
15,94.65366115964213,5.346338840357869,72.77,winning_ticket,Conv-4,1
16,95.50251873795888,4.497481262041117,70.99,winning_ticket,Conv-4,1
17,96.2036664379404,3.7963335620595924,66.38,winning_ticket,Conv-4,1
18,96.78448543189675,3.2155145681032433,63.28,winning_ticket,Conv-4,1
19,97.26695488374548,2.7330451162545195,59.83,winning_ticket,Conv-4,1
20,97.6690127602861,2.330987239713916,51.61,winning_ticket,Conv-4,1
