pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,71.45,winning_ticket,Conv-2,4
1,19.9103137136735,80.0896862863265,71.16,winning_ticket,Conv-2,4
2,35.847544008452005,64.152455991548,70.91,winning_ticket,Conv-2,4
3,48.60539150037945,51.39460849962055,70.69,winning_ticket,Conv-2,4
4,58.81894223472166,41.18105776527833,71.18,winning_ticket,Conv-2,4
5,66.99635804949185,33.00364195050816,70.79,winning_ticket,Conv-2,4
6,73.54414981474041,26.45585018525959,71.81,winning_ticket,Conv-2,4
7,78.7876610791185,21.212338920881507,71.16,winning_ticket,Conv-2,4
8,82.98729688406767,17.01270311593232,71.15,winning_ticket,Conv-2,4
9,86.3512650104906,13.648734989509398,71.27,winning_ticket,Conv-2,4
10,89.04629443626028,10.953705563739714,71.0,winning_ticket,Conv-2,4
11,91.20579624421529,8.79420375578471,70.12,winning_ticket,Conv-2,4
12,92.93653650134667,7.063463498653334,70.22,winning_ticket,Conv-2,4
13,94.32393736142731,5.676062638572683,70.27,winning_ticket,Conv-2,4
14,95.43640164873592,4.56359835126408,69.34,winning_ticket,Conv-2,4
15,96.32866092287546,3.671339077124533,68.81,winning_ticket,Conv-2,4
16,97.04451903188846,2.9554809681115426,68.68,winning_ticket,Conv-2,4
17,97.619037654569,2.3809623454310076,67.95,winning_ticket,Conv-2,4
18,98.08032658512269,1.9196734148773118,67.84,winning_ticket,Conv-2,4
19,98.45084575837389,1.549154241626118,66.18,winning_ticket,Conv-2,4
20,98.7485910227222,1.2514089772778,66.07,winning_ticket,Conv-2,4
